Trial,CorrectAns,choice,RT,Correct,key.started,key.stopped,participant,date,expName,psychopyVersion,frameRate,
2_AF1154_AF1669,left,left,1.16014069999801,1,1129.531080899993,1130.7205128499772,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF433_AF1666,right,right,1.343612500000745,1,1132.719506399997,1134.170645050006,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF867_AF1589,right,right,1.0886965000536293,1,1136.169662499975,1137.3540285499766,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
4_AF1297_AF1419,left,left,1.112282200017944,1,1139.3555144999991,1140.5372748500085,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1955_AF31,right,left,0.907109500025399,0,1142.5381647999748,1143.487381749961,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
4_AF1837_AF355,left,left,0.9639174999902025,1,1145.488164999988,1146.5039921499556,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF582_AF663,right,right,1.0382493000361137,1,1148.5046414000099,1149.6372013500077,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
4_AF1297_AF1576,left,left,1.0564251000178047,1,1151.6371874999604,1152.7707587499754,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF712_AF1669,right,right,1.040800400020089,1,1154.7712067999528,1155.9041112499544,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF324_AF1584,right,right,1.285512699978426,1,1157.9033416999737,1159.270419849956,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1065_AF1712,left,left,0.8882289999746718,1,1161.2771145000006,1162.254025549977,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1666_AF712,left,left,0.7375161999952979,1,1164.2557003999827,1165.0872747499961,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF2010_AF1207,right,right,1.174945899983868,1,1167.0880729999626,1168.320658349956,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF395_AF2006,right,right,0.9210294000222348,1,1170.327029099979,1171.3038183499593,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF395_AF31,right,right,1.1252898999955505,1,1173.3105806999956,1174.520884550002,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1638_AF1532,left,right,0.885667199967429,0,1176.52125359996,1177.4538287500036,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1825_AF2012,right,right,1.648942600004375,1,1179.4691425999627,1181.1541404500022,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1546_AF470,left,right,1.8641037999768741,0,1183.1624893999542,1185.0871319499565,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1643_AF2012,right,left,1.7772226000088267,0,1187.0958813999896,1188.93759674998,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
4_AF355_AF1197,right,right,1.0838459000224248,1,1190.9397943000076,1192.1204825500026,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF867_AF1162,right,right,1.2746746999910101,1,1194.1226379,1195.503661750001,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1659_AF2012,left,left,1.231161699979566,1,1197.5129384999746,1198.8039724499686,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF2_AF900,left,[],[],None,1200.8046694999794,1202.8202921499615,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF1684_AF1029,left,left,1.6926566999754868,1,1204.821242599981,1206.5872824499966,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1029_AF565,right,right,1.1144203000003472,1,1208.58686879999,1209.770712849975,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1903_AF715,right,right,1.0221497000311501,1,1211.7766319999937,1212.9204583499813,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1813_AF2005,right,right,1.5727623999700882,1,1214.9231458999566,1216.5374339499976,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF1207_AF1982,left,left,0.9723170999786817,1,1218.5390025000088,1219.6036630499875,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1532_AF600,right,left,0.8848595999879763,0,1221.6042222999968,1222.5370664499933,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF1816_AF1576,left,left,1.4192690000054426,1,1224.536248199991,1226.0374332499923,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1692_AF1065,right,right,0.8497153000207618,1,1228.0375129999593,1228.9703847499914,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1762_AF1362,right,left,1.12507359997835,0,1230.9715035999543,1232.1705855499604,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF433_AF1812,right,right,1.3393865000107326,1,1234.1703282999806,1235.5870912499959,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1569_AF1499,right,left,1.1323715000180528,0,1237.5860088999616,1238.8370417499682,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF31_AF1982,left,right,1.092152500001248,0,1240.8366788999992,1242.0202243499807,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1762_AF2006,right,right,1.561066500027664,1,1244.0206063999794,1245.670295549964,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
